"","Name","Obs Info","Exposure (s)","RA","RA_Err (arcsec)","Dec","Dec_Err (arcsec)","Sep_obj (arcmin)","RA_Match","Dec_Match","Flux (erg/cm^2/s)","Flux Err","Rate","SNR","Hardness","Name_Match","Version"
"","EPF_J001529.5-391320","11908406530FXTA0101FF01","1019.091115653515","3.8731","1.8616","-39.2219","1.2638","0.12550187305410324","3.87","-39.2225","1.6849e-12","2.6766e-13","0.1425","27.087","0.0104","1eRASS J001528.8-391321","0101"
"","EPF_J001457.6-391135","11908406530FXTA0101FF01","1019.091115653515","3.7381","3.2238","-39.1929","3.6894","6.392251039819791","3.7375","-39.1931","1.6962e-13","6.4615e-14","0.0113","5.0238","0","1eRASS J001457.0-391135","0101"
"","EPF_J001452.5-391046","11908406530FXTA0101FF01","1019.091115653515","3.7192","2.8792","-39.18","3.1909","7.466202487239505","3.7172","-39.1796","5.0778e-13","1.1832e-13","0.0324","9.9427","0","1eRASS J001452.1-391046","0101"
"","EPF_J001446.4-391440","11908406530FXTA0101FF01","1019.091115653515","3.6949","2.7735","-39.2435","1.7768","8.258677586461518","","","6.4035e-13","1.348e-13","0.0381","12.1053","0","","0101"
"","EPF_J001446.9-391125","11908406530FXTA0101FF01","1019.091115653515","3.6967","2.8745","-39.1898","1.4612","8.302300016077295","","","1.4084e-12","2.1042e-13","0.0703","15.9892","0.0195","","0101"
"","EPF_J001419.3-391109","11908406530FXTA0101FF01","1019.091115653515","3.5813","5.9436","-39.1872","4.4962","13.601608898678794","3.5812","-39.1887","2.5051e-13","9.0505e-14","0.0157","5.9949","0","1eRASS J001419.4-391119","0101"
"","EPF_J001650.2-390522","11908406530FXTA0101FF01","1019.091115653515","4.2091","4.1808","-39.0894","2.7236","17.65017339843988","4.2063","-39.0889","1.2133e-13","6.6606e-14","0.0082","4.6131","0","1eRASS J001649.5-390519","0101"
"","EPF_J001523.3-393148","11908406530FXTA0101FF01","1019.091115653515","3.846","8.5608","-39.5289","4.5259","18.454676990974423","3.8456","-39.5293","5.8459e-13","2.4801e-13","0.0133","5.1873","0","1eRASS J001522.9-393145","0101"
"","EPF_J001522.9-385417","11908406530FXTA0101FF01","1019.091115653515","3.8402","6.2042","-38.9045","4.3002","19.095953212018294","3.8399","-38.9056","2.4058e-13","9.8667e-14","0.0148","5.4297","0","1eRASS J001521.5-385420","0101"
"","EPF_J001717.3-392156","11908406530FXTA0101FF01","1019.091115653515","4.3219","6.4038","-39.3657","6.0062","22.671103684500665","","","3.5669e-13","1.3371e-13","0.0119","4.8099","0","","0101"
"","EPF_J001529.5-391320","11908406530FXTA0102FF01","1019.091115653515","3.8731","1.8616","-39.2219","1.2638","0.12550187305410324","3.87","-39.2225","1.6849e-12","2.5887e-13","0.1425","27.087","0.0104","1eRASS J001528.8-391321","0102"
"","EPF_J001457.6-391135","11908406530FXTA0102FF01","1019.091115653515","3.7381","3.2238","-39.1929","3.6894","6.392251039819791","3.7375","-39.1931","1.6962e-13","5.2863e-14","0.0113","5.0238","0","1eRASS J001457.0-391135","0102"
"","EPF_J001452.5-391046","11908406530FXTA0102FF01","1019.091115653515","3.7192","2.8792","-39.18","3.1909","7.466202487239505","3.7172","-39.1796","5.0778e-13","9.6797e-14","0.0324","9.9427","0","1eRASS J001452.1-391046","0102"
"","EPF_J001446.4-391440","11908406530FXTA0102FF01","1019.091115653515","3.6949","2.7735","-39.2435","1.7768","8.258677586461518","","","6.4035e-13","1.1028e-13","0.0381","12.1053","0","","0102"
"","EPF_J001446.9-391125","11908406530FXTA0102FF01","1019.091115653515","3.6967","2.8745","-39.1898","1.4612","8.302300016077295","","","1.4084e-12","1.7215e-13","0.0703","15.9892","0.0195","","0102"
"","EPF_J001419.3-391109","11908406530FXTA0102FF01","1019.091115653515","3.5813","5.9436","-39.1872","4.4962","13.601608898678794","3.5812","-39.1887","2.5051e-13","7.4044e-14","0.0157","5.9949","0","1eRASS J001419.4-391119","0102"
"","EPF_J001650.2-390522","11908406530FXTA0102FF01","1019.091115653515","4.2091","4.1808","-39.0894","2.7236","17.65017339843988","4.2063","-39.0889","1.2133e-13","5.4492e-14","0.0082","4.6131","0","1eRASS J001649.5-390519","0102"
"","EPF_J001523.3-393148","11908406530FXTA0102FF01","1019.091115653515","3.846","8.5608","-39.5289","4.5259","18.454676990974423","3.8456","-39.5293","5.8459e-13","2.029e-13","0.0133","5.1873","0","1eRASS J001522.9-393145","0102"
"","EPF_J001522.9-385417","11908406530FXTA0102FF01","1019.091115653515","3.8402","6.2042","-38.9045","4.3002","19.095953212018294","3.8399","-38.9056","2.4058e-13","1.0798e-13","0.0148","5.4297","0","1eRASS J001521.5-385420","0102"
"","EPF_J001717.3-392156","11908406530FXTA0102FF01","1019.091115653515","4.3219","6.4038","-39.3657","6.0062","22.671103684500665","","","3.5669e-13","1.2378e-13","0.0119","4.8099","0","","0102"
