"","Name","Obs Info","Exposure (s)","RA","RA_Err (arcsec)","Dec","Dec_Err (arcsec)","Sep_obj (arcmin)","RA_Match","Dec_Match","Flux (erg/cm^2/s)","Flux Err","Rate","SNR","Hardness","Name_Match","Version"
"","EPF_J001529.5-391320","11908406530FXTB0101FF01","1019.132783293724","3.8728","1.5304","-39.2223","1.1448","0.11409798920652256","3.87","-39.2225","1.2201e-12","1.3138e-13","0.1747","30.2163","0.0084","1eRASS J001528.8-391321","0101"
"","EPF_J001457.6-391135","11908406530FXTB0101FF01","1019.132783293724","3.7398","4.3379","-39.1931","3.6558","6.312932688103487","3.7375","-39.1931","2.6807e-13","7.9417e-14","0.0202","7.0418","0","1eRASS J001457.0-391135","0101"
"","EPF_J001604.9-391143","11908406530FXTB0101FF01","1019.132783293724","4.0204","6.6569","-39.1953","4.9327","7.153958332956914","4.0189","-39.1946","1.2759e-13","5.0908e-14","0.0105","5.7453","0","2SXPS J001604.5-391140","0101"
"","EPF_J001452.5-391046","11908406530FXTB0101FF01","1019.132783293724","3.7186","2.5918","-39.1793","2.2091","7.506707011782239","3.7172","-39.1796","7.3033e-13","1.1706e-13","0.061","13.7845","0.0015","1eRASS J001452.1-391046","0101"
"","EPF_J001446.4-391440","11908406530FXTB0101FF01","1019.132783293724","3.6933","2.5332","-39.2443","2.1514","8.339678744556982","3.6898","-39.2437","5.4371e-13","1.1238e-13","0.0392","11.6822","0","1eRASS J001445.5-391437","0101"
"","EPF_J001446.9-391125","11908406530FXTB0101FF01","1019.132783293724","3.6954","2.5491","-39.1903","1.5836","8.354215489752944","3.6922","-39.1912","1.3112e-12","1.7081e-13","0.0831","16.6378","0.0229","1eRASS J001446.1-391128","0101"
"","EPF_J001419.3-391109","11908406530FXTB0101FF01","1019.132783293724","3.5805","3.046","-39.1859","3.1202","13.65061497961989","3.5812","-39.1887","2.18e-13","7.2769e-14","0.0174","6.299","0","1eRASS J001419.4-391119","0101"
"","EPF_J001523.3-393148","11908406530FXTB0101FF01","1019.132783293724","3.8472","4.0048","-39.5301","2.9537","18.523225069911653","3.8456","-39.5293","4.8589e-13","1.3141e-13","0.0319","8.7347","0","1eRASS J001522.9-393145","0101"
"","EPF_J001522.9-385417","11908406530FXTB0101FF01","1019.132783293724","3.8456","8.0563","-38.9047","3.3975","19.0670900040152","","","3.1368e-13","1.1566e-13","0.0187","5.0936","0.0044","","0101"
"","EPF_J001437.1-385547","11908406530FXTB0101FF01","1019.132783293724","3.6545","3.6256","-38.9298","5.135","20.20623663029125","3.656","-38.9293","3.5976e-13","1.4951e-13","0.015","4.7681","0","4XMM J001437.4-385545","0101"
"","EPF_J001655.4-392636","11908406530FXTB0101FF01","1019.132783293724","4.2307","4.5138","-39.4432","3.1033","21.35175607172048","","","4.5393e-13","1.346e-13","0.0434","9.4446","0","","0101"
"","EPF_J001529.5-391320","11908406530FXTB0102FF01","1019.132783293724","3.8728","1.5304","-39.2223","1.1448","0.11409798920652256","3.87","-39.2225","1.2201e-12","1.1557e-13","0.1747","30.2163","0.0084","1eRASS J001528.8-391321","0102"
"","EPF_J001457.6-391135","11908406530FXTB0102FF01","1019.132783293724","3.7398","4.3379","-39.1931","3.6558","6.312932688103487","3.7375","-39.1931","2.6807e-13","8.7132e-14","0.0202","7.0418","0","1eRASS J001457.0-391135","0102"
"","EPF_J001604.9-391143","11908406530FXTB0102FF01","1019.132783293724","4.0204","6.6569","-39.1953","4.9327","7.153958332956914","4.0189","-39.1946","1.2759e-13","5.5853e-14","0.0105","5.7453","0","2SXPS J001604.5-391140","0102"
"","EPF_J001452.5-391046","11908406530FXTB0102FF01","1019.132783293724","3.7186","2.5918","-39.1793","2.2091","7.506707011782239","3.7172","-39.1796","7.3033e-13","1.2844e-13","0.061","13.7845","0.0015","1eRASS J001452.1-391046","0102"
"","EPF_J001446.4-391440","11908406530FXTB0102FF01","1019.132783293724","3.6933","2.5332","-39.2443","2.1514","8.339678744556982","3.6898","-39.2437","5.4371e-13","1.233e-13","0.0392","11.6822","0","1eRASS J001445.5-391437","0102"
"","EPF_J001446.9-391125","11908406530FXTB0102FF01","1019.132783293724","3.6954","2.5491","-39.1903","1.5836","8.354215489752944","3.6922","-39.1912","1.3112e-12","1.874e-13","0.0831","16.6378","0.0229","1eRASS J001446.1-391128","0102"
"","EPF_J001419.3-391109","11908406530FXTB0102FF01","1019.132783293724","3.5805","3.046","-39.1859","3.1202","13.65061497961989","3.5812","-39.1887","2.18e-13","7.9838e-14","0.0174","6.299","0","1eRASS J001419.4-391119","0102"
"","EPF_J001523.3-393148","11908406530FXTB0102FF01","1019.132783293724","3.8472","4.0048","-39.5301","2.9537","18.523225069911653","3.8456","-39.5293","4.8589e-13","1.4418e-13","0.0319","8.7347","0","1eRASS J001522.9-393145","0102"
"","EPF_J001522.9-385417","11908406530FXTB0102FF01","1019.132783293724","3.8456","8.0563","-38.9047","3.3975","19.0670900040152","","","3.1368e-13","1.269e-13","0.0187","5.0936","0.0044","","0102"
"","EPF_J001437.1-385547","11908406530FXTB0102FF01","1019.132783293724","3.6545","3.6256","-38.9298","5.135","20.20623663029125","3.656","-38.9293","3.5976e-13","1.6404e-13","0.015","4.7681","0","4XMM J001437.4-385545","0102"
"","EPF_J001655.4-392636","11908406530FXTB0102FF01","1019.132783293724","4.2307","4.5138","-39.4432","3.1033","21.35175607172048","","","4.5393e-13","1.1012e-13","0.0434","9.4446","0","","0102"
