source_name,11908406530,11908406531,11908406541,11908407041,11908407042,11908407043,11908407054,11908407078,11908410625,11908410626,11908411137,11908411138,11908423426,11908468480,11908470539,11908590343,11908605193,11908605705,11908621063,11908621574,11908658945,11908659457,11908659969,11908661505,11908662017,11908768003,11908768515
NGC1313_X1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1313_X2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1313_X3,-,-,-,-,-,-,-,-,x3,x3,-,-,-,-,-,-,-,-,-,-,-,x3,-,-,-,-,-
NGC1313_X4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1313_X5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X6,-,-,-,-,-,-,-,-,-,-,x2,x2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC5128_X9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC0247_X1,-,-,-,x1,x2,x1,-,x2,-,-,-,-,-,-,-,-,x2,-,-,x1,-,-,-,-,x1,x2,-
NGC7793_X1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC7793_X2,-,-,-,-,-,-,-,-,-,-,-,-,x1,-,-,-,-,-,-,-,x2,-,-,-,-,-,-
NGC7793_X3,-,-,-,-,-,-,-,-,-,-,-,-,x2,-,-,-,-,-,-,-,x3,-,-,-,-,-,-
NGC0224_X1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC0224_X2,-,-,-,-,-,-,-,-,-,-,-,-,-,x14,-,-,-,-,-,-,-,-,x18,-,-,-,-
NGC0224_X3,-,-,-,-,-,-,-,-,-,-,-,-,-,x18,-,-,-,-,-,-,-,-,x25,-,-,-,-
NGC0224_X4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC0224_X5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC1316_X6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGC55_X1,x2,x1,x3,-,-,-,-,-,-,-,-,-,-,-,-,x2,-,x2,x2,-,-,-,-,x2,-,-,x3
NGC1313_X0,-,-,-,-,-,-,-,-,x1,x1,-,-,-,-,-,-,-,-,-,-,-,x1,-,-,-,-,-
